Feature,Importance
Relapse_Rate_Exp,0.18677619248070157
Ctrl_Relapse,0.10218292350686912
Baseline_BDI_Exp,0.09217003980939413
Baseline_BDI_Ctrl,0.08973693967170152
Baseline_HRSD_Ctrl,0.07556945839611214
Ctrl_Total,0.0704909134102376
Baseline_HRSD_Exp,0.056367075198616855
Exp_Total,0.04625011065751273
Relapse_Rate_Ctrl,0.04525486981421869
Female_%_Ctrl,0.0418203098413324
Previous_Episodes,0.036025811389205374
Followup_Months,0.035159707884859046
Mean_Age_Ctrl,0.03274889089295005
Mean_Age_Exp,0.028925754082010785
No_of_Sessions,0.027531815716461048
Medication_%_Ctrl,0.01117588994150457
Year,0.010070935191982997
Female_%_Exp,0.007855826648773368
Medication_%_Exp,0.0021221512146824134
Duration_Weeks,0.0017643842508736234
